Topic ID: D1402_TRAIN | Citance Number: 1 | Reference Article: Westbrook.txt | Citing Article: Agami.txt | Citation Marker Offset: 2912-2934 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2647-2935 | Citation Text:  Previous studies have shown that new oncogenes and tumor suppressor genes can be identified using primary human cells genetically designed to be one step short of full-blown transformation ( Kolfschoten et al., 2005, Peeper et al., 2002, Voorhoeve et al., 2006 and Westbrook et al., 2005) | Reference Offset: ['3662-4196', '5446-5821'] | Reference Text:  One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004). These experimental models have been useful in delineating the minimum genetic perturbations required for transformation of various human cell types as well as evaluating the functional cooperation between a gene of interest and a defined genetic context ... Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 7 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 17018-17020 | Citation Marker:  20 | Citation Offset:  16834-17027 | Citation Text:  Interfering with mechanisms regulating REST post-translational modifications have been shown to affect NSCs differentiation and cellular transformation in non-neural epithelial cells [20], [31] | Reference Offset: ['28485-29367'] | Reference Text:  However, we hypothesized if expression of REST-FS was important to the genesis of this cancer, the mutant allele should exhibit dominant-negative activity. REST-FS lacks the C-terminal repressor domain that interacts with CoREST, a corepressor molecule that mediates transcriptional repression and silencing by REST (Andres et al., 1999). To determine if REST-FS displays properties of a dominant-negative protein, we transduced the HMEC derivative (TLM cells) used in our initial screen with wild-type or mutant REST and assessed anchorage-independent proliferation. Cells expressing REST-FS but not wild-type REST exhibited robust colony formation (Figure 4E, bottom panel). The ability of REST-FS to phenocopy the transforming activity of REST shRNAs strongly suggests that this mutant interferes with the functions of endogenous REST that restrain epithelial cell transformation | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 8 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 3710-3712 | Citation Marker:  20 | Citation Offset:  3608-3841 | Citation Text:  In human epithelial cells REST has been described as a potent suppressor of malignant transformation [20] and its deregulation has been associated with several non-neural tumors including breast and small cell lung cancers [21], [22] | Reference Offset: ['4858-5267'] | Reference Text:  We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors. Several are associated with known cancer-relevant pathways including Ras, PI(3)K, and TGF-β signaling. In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 9 | Reference Article: Westbrook.txt | Citing Article: Gewinner.txt | Citation Marker Offset: 5703-5725 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5556-5726 | Citation Text:  Further, INPP4B was identified out of a collection of RNAis to give rise to anchorage-independent growth in human mammary epithelial cells (HMEC) (Westbrook et al., 2005) | Reference Offset: ['12386-12431', '12565-12592', '13215-13550'] | Reference Text:  Suppressors of Epithelial Cell Transformation ... INPP4B*	PIP2 phosphatase	ND ... This table lists gene targets of unique, sequence-verified shRNAs identified in 200 anchorage-independent colonies isolated from the screen. shRNAs identified in the context of double integrations (seven in total) were disregarded. Ninety percent of isolated anchorage-independent colonies encoded one of eight shRNAs (demarcated by *) | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 10 | Reference Article: Westbrook.txt | Citing Article: Hitomi.txt | Citation Marker Offset: 30602-30624 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  30492-30956 | Citation Text:  On the other hand, RASA4/CAPRI (RAS p21 protein activator 4), a suppressor of epithelial cell transformation (Westbrook et al., 2005), functions as a Ca(2+)-dependent Ras GTPase-activating protein (GAP) to inactivate the Ras-MAPK pathway following a stimulus that elevates intracellular calcium (Lockyer et al., 2001). A common role of RASA4 in regulating both necroptosis and apoptosis may provide a potential mechanism for its proposed role as a tumor suppressor | Reference Offset: ['11489-11996', '33946-34334'] | Reference Text:  While the majority of these genes have not been directly examined for their relationship to cancer pathogenesis, several are implicated in the regulation of cancer-relevant pathways. Notably, we identified an shRNA targeting CAPRI (RASA4), a calcium-sensing Ras GTPase-activating protein (Ras-GAP) previously shown to inhibit Ras-dependent signaling ( Lockyer et al., 2001). This is consistent with the ability of a constitutively active Ras mutant to transform TLM-HMECs (J.J.Z. and T.R., unpublished data) ... In addition, we have identified several genes that impinge upon pathways implicated in cancer pathogenesis. For example, we isolated the calcium-sensing Ras-GAP CAPRI (RASA4), a previously described negative regulator of the Ras protooncogene ( Lockyer et al., 2001). Consistent with a role for regulation of Ras signaling in our experimental system, activated Ras can transform TLM-HMECs | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 11 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 37043-37065 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  36892-37148 | Citation Text:  REST is a transcription factor that represses neuronal genes in non-neural tissues, and plays a prominent tumor suppressor role in epithelial tissues (Westbrook et al., 2005), though the mechanism by which REST suppresses tumorigenesis is poorly understood | Reference Offset: ['22755-23656', '24564-25609'] | Reference Text:  RE1-silencing transcription factor (REST)/neuron-restrictive silencing factor (NRSF) is a transcriptional regulator best characterized for its role in repressing neuronal genes including neurotrophins and cell-adhesion molecules in nonneuronal tissues ( Chong et al., 1995 and Schoenherr and Anderson, 1995). Intriguingly, a variety of human tumors including those arising in breast, ovary, and lung activate expression of neuron-specific genes. In some instances, the inappropriate expression of these neural genes elicits an autoimmune response that culminates in neurological disorders, collectively known as paraneoplastic neurologic degenerations (PND; see Discussion) ( Albert and Darnell, 2004). Such aberrant neural gene expression suggests that these cancers harbor defects in regulators of neuronal programs. Consequently, we investigated a potential role for REST in human tumor suppression ... REST is widely expressed throughout nonneuronal tissues including the colonic epithelium (Figure S1) (Chong et al., 1995 and Schoenherr and Anderson, 1995). The above results suggest that loss of REST expression may confer a selective advantage during the evolution of tumor cells. This hypothesis predicts that cells with defective REST function may be sensitive to reconstitution of REST. We examined this prediction by ectopically expressing REST in colon cancer cells that have lost (SW1417) or retain (SW620) endogenous REST expression (Figure 4A). Exogenous REST expression elicited a mild decrease in the proliferation of SW620 colon cancer cells (Figure 4B). In contrast, ectopic REST expression significantly reduced colony formation in SW1417 cells (>50-fold; Figure 4B), indicating that these cells are highly dependent on the absence of REST for their proliferation in vitro. Coupled with the function of REST in suppressing epithelial cell transformation (Figure 1E), these data strongly support a role for REST in tumor suppression | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 12 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 5977-5999 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5740-6000 | Citation Text:  HMECs isolated from healthy human breast tissue were transduced with lentiviruses expressing hTERT and SV40-Large T. These cells (herein termed TLM-HMECs) are immortal but do not proliferate in the absence of extracellular matrix (ECM) (Westbrook et al., 2005) | Reference Offset: ['6135-6673'] | Reference Text:  The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003). In addition, these cells exhibit elevated expression of the endogenous c-myc gene resulting from extended culture in vitro ( Wang et al., 2000). Important to the efficacy of this screen, these cells do not proliferate in the absence of extracellular matrix (<1 colony in 104; Figure 1B, left panel) ( Zhao et al., 2003) | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 13 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 61958-61980 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  61910-62045 | Citation Text:  HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Westbrook et al., 2005) were cultured in mammary epithelial growth medium (MEGM, Lonza) | Reference Offset: ['6135-6352', '43499-43631'] | Reference Text:  The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003) ... HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Zhao et al., 2003) were cultured in mammary epithelial growth medium (MEGM, Cambrex) | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1402_TRAIN | Citance Number: 14 | Reference Article: Westbrook.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4329-4351 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  3700-4352 | Citation Text:  The cancerous process can be modeled by in vitro neoplastic transformation assays in primary human cells (Hahn et al., 1999). Using this system, sets of genetic elements required for transformation were identified. For example, the joint expression of the telomerase reverse transcriptase subunit (hTERT), oncogenic H-RASV12, and SV40-small t antigen combined with the suppression of p53 and p16INK4A were sufficient to render primary human fibroblasts tumorigenic (Voorhoeve and Agami, 2003). Recently, these neoplastic transformation assays were used to uncover novel human tumor suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference Offset: ['3662-4463', '4689-5373', '34860-35144'] | Reference Text:  One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004). These experimental models have been useful in delineating the minimum genetic perturbations required for transformation of various human cell types as well as evaluating the functional cooperation between a gene of interest and a defined genetic context. To date, these models of human cell transformation have incorporated genes already implicated in human tumorigenesis. However, such models also provide a potentially useful platform for the identification of new pathways that contribute to the transformed phenotype ... We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors. Several are associated with known cancer-relevant pathways including Ras, PI(3)K, and TGF-β signaling. In addition, we provide evidence that one of these candidates, the transcriptional repressor REST/NRSF, plays a previously unappreciated role in tumor suppression. These findings support the utility of this novel approach to the identification of cancer relevant genes ... The novelty of this genetic approach is in the unbiased identification of new and unanticipated tumor suppressor functions. In this regard, our studies provide significant evidence for the identification of a novel tumor suppressor, the transcriptional repressor REST/NRSF (see below) | Discourse Facet:  Implication_Citation | Annotator:  E, |

