Topic ID: D1402_TRAIN | Citance Number: 1 | Reference Article: Westbrook.txt | Citing Article: Agami.txt | Citation Marker Offset: 2912-2934 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  2647-2935 | Citation Text:  Previous studies have shown that new oncogenes and tumor suppressor genes can be identified using primary human cells genetically designed to be one step short of full-blown transformation ( Kolfschoten et al., 2005, Peeper et al., 2002, Voorhoeve et al., 2006 and Westbrook et al., 2005) | Reference Offset: ['3508-3941', '4466-5000'] | Reference Text:  As such, new strategies to delineate genes with functional relevance to tumor initiation and development are essential to understanding these processes. One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) ... The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 7 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 17018-17020 | Citation Marker:  20 | Citation Offset:  16650-17027 | Citation Text:  Analysis of protein levels and distribution is extremely important in the case of REST as its post-translational modifications have been shown to regulate cell maintenance [30], [31]. Interfering with mechanisms regulating REST post-translational modifications have been shown to affect NSCs differentiation and cellular transformation in non-neural epithelial cells [20], [31] | Reference Offset: ['35399-36732'] | Reference Text:  Here, we present several lines of evidence that REST may play a role in tumor suppression in humans. First, reduced REST function (mediated by RNAi or expression of dominant-negative REST) promotes transformation of human epithelial cells. Conversely, reconstitution of REST expression elicits a dramatic proliferation defect in colon cancer cells that have lost endogenous REST function. Strikingly, an independent aCGH-based search for genomic loci characterized by recurrent microdeletions identified the REST locus as a high-confidence target in colorectal cancer. This high-confidence list includes two previously established tumor suppressors, p16INK4A and TGFβRII (Derynck et al., 2001, Ruas and Peters, 1998 and Siegel and Massague, 2003), the latter of which was also identified as a SECT gene. In addition, larger deletions encompassing the REST gene were frequent in colon tumors and tumor cell lines. Furthermore, we isolated a frameshift mutation of the REST coding region in colorectal tumor cells that displays properties of a dominant negative, transforming human epithelial cells to a level similar to REST shRNAs. Finally, we show that impaired REST function enhances the intensity and duration of PI(3)K signaling, a pathway that is aberrantly activated in many if not all human cancers (Vivanco and Sawyers, 2002) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 8 | Reference Article: Westbrook.txt | Citing Article: Conti.txt | Citation Marker Offset: 3710-3712 | Citation Marker:  20 | Citation Offset:  3608-3841 | Citation Text:  In human epithelial cells REST has been described as a potent suppressor of malignant transformation [20] and its deregulation has been associated with several non-neural tumors including breast and small cell lung cancers [21], [22] | Reference Offset: ['27446-27940', '28641-29160'] | Reference Text:  We identified a single-nucleotide deletion within REST exon 4 of cells derived from a colorectal adenocarcinoma (DLD-1) ( Figure 4C). This frameshift mutation results in a premature termination codon in the center of the coding sequence, yielding a protein with a predicted size of approximately 85 kDa. This frameshift mutant, referred to as REST-FS, was detected by N-terminal REST antibodies in lysates from DLD-1 cells but not those of other colon cancer cell lines ( Figure 4D, top panel). ... REST-FS lacks the C-terminal repressor domain that interacts with CoREST, a corepressor molecule that mediates transcriptional repression and silencing by REST (Andres et al., 1999). To determine if REST-FS displays properties of a dominant-negative protein, we transduced the HMEC derivative (TLM cells) used in our initial screen with wild-type or mutant REST and assessed anchorage-independent proliferation. Cells expressing REST-FS but not wild-type REST exhibited robust colony formation (Figure 4E, bottom panel) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 9 | Reference Article: Westbrook.txt | Citing Article: Gewinner.txt | Citation Marker Offset: 5703-5725 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5556-5726 | Citation Text:  Further, INPP4B was identified out of a collection of RNAis to give rise to anchorage-independent growth in human mammary epithelial cells (HMEC) (Westbrook et al., 2005) | Reference Offset: ['13215-13705'] | Reference Text:  This table lists gene targets of unique, sequence-verified shRNAs identified in 200 anchorage-independent colonies isolated from the screen. shRNAs identified in the context of double integrations (seven in total) were disregarded. Ninety percent of isolated anchorage-independent colonies encoded one of eight shRNAs (demarcated by *). For candidate validation, multiple shRNAs directed against independent sequences within a gene target were tested for transformation (ND, not determined) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 10 | Reference Article: Westbrook.txt | Citing Article: Hitomi.txt | Citation Marker Offset: 30602-30624 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  30492-30809 | Citation Text:  On the other hand, RASA4/CAPRI (RAS p21 protein activator 4), a suppressor of epithelial cell transformation (Westbrook et al., 2005), functions as a Ca(2+)-dependent Ras GTPase-activating protein (GAP) to inactivate the Ras-MAPK pathway following a stimulus that elevates intracellular calcium (Lockyer et al., 2001) | Reference Offset: ['11672-11996', '34054-34212'] | Reference Text:  Notably, we identified an shRNA targeting CAPRI (RASA4), a calcium-sensing Ras GTPase-activating protein (Ras-GAP) previously shown to inhibit Ras-dependent signaling ( Lockyer et al., 2001). This is consistent with the ability of a constitutively active Ras mutant to transform TLM-HMECs (J.J.Z. and T.R., unpublished data) ... For example, we isolated the calcium-sensing Ras-GAP CAPRI (RASA4), a previously described negative regulator of the Ras protooncogene ( Lockyer et al., 2001) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 11 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 37043-37065 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  36892-37148 | Citation Text:  REST is a transcription factor that represses neuronal genes in non-neural tissues, and plays a prominent tumor suppressor role in epithelial tissues (Westbrook et al., 2005), though the mechanism by which REST suppresses tumorigenesis is poorly understood | Reference Offset: ['35399-36529'] | Reference Text:  Here, we present several lines of evidence that REST may play a role in tumor suppression in humans. First, reduced REST function (mediated by RNAi or expression of dominant-negative REST) promotes transformation of human epithelial cells. Conversely, reconstitution of REST expression elicits a dramatic proliferation defect in colon cancer cells that have lost endogenous REST function. Strikingly, an independent aCGH-based search for genomic loci characterized by recurrent microdeletions identified the REST locus as a high-confidence target in colorectal cancer. This high-confidence list includes two previously established tumor suppressors, p16INK4A and TGFβRII (Derynck et al., 2001, Ruas and Peters, 1998 and Siegel and Massague, 2003), the latter of which was also identified as a SECT gene. In addition, larger deletions encompassing the REST gene were frequent in colon tumors and tumor cell lines. Furthermore, we isolated a frameshift mutation of the REST coding region in colorectal tumor cells that displays properties of a dominant negative, transforming human epithelial cells to a level similar to REST shRNAs | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 12 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 5977-5999 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  5511-6000 | Citation Text:  To identify new networks that regulate cellular transformation in human breast cancer, we performed a genetic screen for kinases and phosphatases that suppress cellular transformation in genetically engineered HMECs (Figure 1A). HMECs isolated from healthy human breast tissue were transduced with lentiviruses expressing hTERT and SV40-Large T. These cells (herein termed TLM-HMECs) are immortal but do not proliferate in the absence of extracellular matrix (ECM) (Westbrook et al., 2005) | Reference Offset: ['5924-6352', '6499-6673'] | Reference Text:  As >80% of cancers arise from epithelial tissues, we chose to examine cells derived from human mammary epithelial cells (HMECs) to increase the probability of finding genes with relevance to epithelial cancers. The cells utilized for this screen (referred to as TLM-HMECs) were created by sequentially introducing the human telomerase catalytic subunit (hTERT) and the large T-antigen (LT) of SV40 into HMECs (Zhao et al., 2003) ... Important to the efficacy of this screen, these cells do not proliferate in the absence of extracellular matrix (<1 colony in 104; Figure 1B, left panel) ( Zhao et al., 2003) | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 13 | Reference Article: Westbrook.txt | Citing Article: Sun.txt | Citation Marker Offset: 61958-61980 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  61910-62045 | Citation Text:  HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Westbrook et al., 2005) were cultured in mammary epithelial growth medium (MEGM, Lonza) | Reference Offset: ['43499-43631'] | Reference Text:  HMECs expressing hTERT and SV40 LT (TLM-HMECs) (Zhao et al., 2003) were cultured in mammary epithelial growth medium (MEGM, Cambrex) | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1402_TRAIN | Citance Number: 14 | Reference Article: Westbrook.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4329-4351 | Citation Marker:  Westbrook et al., 2005 | Citation Offset:  3700-4352 | Citation Text:  The cancerous process can be modeled by in vitro neoplastic transformation assays in primary human cells (Hahn et al., 1999). Using this system, sets of genetic elements required for transformation were identified. For example, the joint expression of the telomerase reverse transcriptase subunit (hTERT), oncogenic H-RASV12, and SV40-small t antigen combined with the suppression of p53 and p16INK4A were sufficient to render primary human fibroblasts tumorigenic (Voorhoeve and Agami, 2003). Recently, these neoplastic transformation assays were used to uncover novel human tumor suppressor genes (Kolfschoten et al., 2005 and Westbrook et al., 2005) | Reference Offset: ['3508-3941', '4466-5000', '5446-5821'] | Reference Text:  As such, new strategies to delineate genes with functional relevance to tumor initiation and development are essential to understanding these processes. One approach to this problem involves the use of in vitro models of human cell transformation. In such models, primary cells are transformed into tumorigenic derivatives by the coexpression of cooperating oncogenes (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) ... The emergence of RNA interference (RNAi) as a mechanism to silence gene expression has enabled loss-of-function analysis in mammalian cells in a potentially genomewide manner (Berns et al., 2004 and Paddison et al., 2004). We have utilized such an RNAi-based, forward genetic approach to identify genes that suppress oncogenic transformation in a defined human mammary epithelial cell model. We identified approximately 25 potential suppressors of epithelial cell transformation (SECT) genes that represent candidate tumor suppressors ... Recently, several cell culture models of human cell transformation have been described in which primary human cells are engineered to express combinations of dominantly acting cellular and viral oncogenes and subsequently measured for anchorage-independent proliferation, an in vitro hallmark of transformation (Elenbaas et al., 2001, Hahn et al., 1999 and Zhao et al., 2004) | Discourse Facet:  Method_Citation | Annotator:  B, |

