Topic ID: D1404_TRAIN | Citance Number: 1 | Reference Article:  Agami,Bernards.txt | Citing Article:  Chen.txt | Citation Marker Offset:  3240-3241 | Citation Marker:  9 | Citation Offset:  3023-3242 | Citation Text:  A few studies have reported the control of APC/C by genotoxic stress in mammalian cells. Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest [9] | Reference Offset:  ['33197-33700', '39471-39779', '40759-41113'] | Reference Text:  Genotoxic stresses, such as IR, induce a fast and strong G1 arrest that is sustained over a prolonged period of time. We report here that this type of G1 arrest builds up in two different and mechanistically distinct phases: initiation and maintenance. The initial process is fast (accomplished in a period of less than 10 hr), strong (more than 15% increase in G1 in an asynchronous population), and is mediated by cyclin D1 degradation. p53 activity is dispensable for G1 arrest in this initial period ... We demonstrate here that cyclin D1 has a functional RxxL motif, also known as a destruction box, within its amino terminus. This destruction box does not play a role in the normal metabolic turn-over of cyclin D1 protein (Figure 4), but mediates rapid cyclin D1 degradation after exposure to genotoxic stress ... In support of this view is our finding that the cyclin D1/CDK4 complex specifically associates with the APC in cycling cells (Figure 5). Whereas the interaction of APC with CDK4 remains intact in cells exposed to IR, the interaction with cyclin D1 decreases rapidly. Therefore, it seems that CDK4 serves as a bridging factor between cyclin D1 and the APC | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 7 | Reference Article:  Agami,Bernards.txt | Citing Article:  Liu.txt | Citation Marker Offset:  19784-19786 | Citation Marker:  17 | Citation Offset:  19445-19787 | Citation Text:  Cell cycle coordination takes place mainly at G1/S and G2/M phase transitions by a series of checkpoints. It has been shown that the activities of many regulatory factors of checkpoints are lost or arrested during the process of tumorigenesis [16], and found that some anti-tumor reagents could restore the altered regulatory checkpoints [17] | Reference Offset:  ['11855-11959'] | Reference Text:  Cyclin D1 was also rapidly degraded in response to other genotoxic agents such as cis-platin (Figure 2H) | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 8 | Reference Article:  Agami,Bernards.txt | Citing Article:  McFeat.txt | Citation Marker Offset:  25002-25004 | Citation Marker:  28 | Citation Offset:  24894-25028 | Citation Text:  The induction of both apoptosis and cell cycle arrest by UVC are associated with p53 perhaps by ATR kinase [28], [29] reviewed in [30] | Reference Offset:  ['982-1224', '3653-4240'] | Reference Text:  Thus, induction of G1 arrest in response to DNA damage is minimally a two step process: a fast p53-independent initiation of G1 arrest mediated by cyclin D1 proteolysis and a slower maintenance of arrest resulting from increased p53 stability ... DNA damage checkpoints control the timing of cell cycle progression in response to genotoxic stress (reviewed in Weinert 1998). Arrest in G1 is thought to prevent aberrant replication of damaged DNA and arrest in G2 allows cells to avoid segregation of defective chromosomes. Primary among mammalian checkpoint genes is the tumor suppressor p53. In response to DNA damage, such as ionizing radiation (IR), p53 is required for G1 arrest (reviewed in Lakin and Jackson 1999), apoptosis (reviewed in Sionov and Haupt 1999), and to sustain arrest of cells prior to M phase (Bunz et al. 1998) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 9 | Reference Article:  Agami,Bernards.txt | Citing Article:  Shao.txt | Citation Marker Offset:  19871-19873 | Citation Marker:  25 | Citation Offset:  19590-20036 | Citation Text:  The abundance of cyclin D, cyclin E, p21WAF1/Cip1 and p27KIP1 proteins is regulated by the ubiquitin-proteasome pathway. In fact, genotoxic stresses such as ionizing radiation have been demonstrated to trigger rapid proteolysis of cyclin D1, leading to p53-independent G1 arrest (25). This is in accordance with our .nding that treatment of p53-deficient cells with adriamycin caused a signi.cant decrease in cyclin D1 protein stability (Fig. 2) | Reference Offset:  ['33197-33700', '34523-35044'] | Reference Text:  Genotoxic stresses, such as IR, induce a fast and strong G1 arrest that is sustained over a prolonged period of time. We report here that this type of G1 arrest builds up in two different and mechanistically distinct phases: initiation and maintenance. The initial process is fast (accomplished in a period of less than 10 hr), strong (more than 15% increase in G1 in an asynchronous population), and is mediated by cyclin D1 degradation. p53 activity is dispensable for G1 arrest in this initial period ... This p53 response depends on several time-consuming processes and is therefore inherently slow. Therefore, the p53 response appears more suited to maintain and further strengthen an already established G1 arrest, rather than to initiate it. This notion is supported by the present data, which show that p53 hardly contributes to G1 arrest in the first 10 hr after exposure to IR. Our results suggest strongly that the initial phase of G1 arrest following IR relies primarily on downregulation of cyclin D1 protein levels | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 10 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve,Agami.txt | Citation Marker Offset:  27215-27239 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  27151-27402 | Citation Text:  MCF7 or HeLa cells were electroporated as described previously (Agami and Bernards, 2000) to more than 95% efficiency with pSuper constructs against the various targets, and 72 hr later, protein expression was analyzed by SDS-PAGE and Western blotting | Reference Offset:  ['43727-44509'] | Reference Text:  Cells were transfected with either DOTAP (Boehringer Mannheim) or Lipofectamine (Gibco-BRL). To obtain high transfection efficiency, 3 × 105 MCF-7 cells were resuspended in 100 μl of electroporation buffer containing 2 mM HEPES (pH 7.2), 15 mM K2HPO4/KH2PO4, 250 mM manitol, and 1mM MgCl2 at a final pH of 7.2. Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals. Five minutes after electroporation, cells were seeded in either a 10 cm dish or an equivalent area. Cells were washed 16 hr after transfection and the experiment was performed either 24 or 48 hr later | Discourse Facet:  Method_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 11 | Reference Article:  Agami,Bernards.txt | Citing Article:  Yang.txt | Citation Marker Offset:  35519-35521 | Citation Marker:  51 | Citation Offset:  35323-35522 | Citation Text:  It has been shown, however, that ubiquitination of cyclin D1 can efficiently take place following phosphorylation of another site [49], or without the apparent requirement for phosphorylation [50,51] | Reference Offset:  ['15076-15311', '17568-18200'] | Reference Text:  Furthermore, a mutant of cyclin D1 in which the GSK3-β phosphorylation site was mutated (T286A), and is completely refractory to GSK3-β induced degradation (Diehl et al. 1998), was fully responsive to IR-induced degradation (Figure 4B) ... However, two independent point mutations within the putative destruction box of cyclin D1 (either R29Q or L32A) completely abolished degradation by IR ( Figure 4B). Combining each of these mutations in the destruction box with a mutation in the GSK3-β phosphorylation site ( Figure 4B, R29Q;T286A and L32A;T286A mutants) gave rise to a higher level of protein expression in nonirradiated cells that was fully resistant to the IR effect, in sharp contrast to the T286A single mutant ( Figure 4B). These data suggest that the RxxL destruction box in cyclin D1 is the major motif that renders cyclin D1 susceptible to degradation by IR | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1404_TRAIN | Citance Number: 12 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  46488-46512 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  46422-46513 | Citation Text:  IP-kinase assay and flowcytometry were performed as described in (Agami and Bernards, 2000) | Reference Offset:  ['44921-45460', '47345-47815'] | Reference Text:  For FACS analysis, cells were trypsinized and resuspended in 600 μl solution containing 0.6% NP-40, 50 μg/ml RNaseA, and 50 μg/ml propidium iodide in PBS. In each assay, 10,000 cells were collected by FACScan and analyzed with the CellQuest program (Becton Dickinson). For bromodeoxyuridine (BrdU) labeling, cells were incubated 1 hr prior to the harvest with 7.5 μg/ml BrdU. After harvest, cells were fixed in ethanol and stained sequentially with mouse anti-BrdU antibodies (DAKO) and FITC-conjugated goat-anti-mouse antibodies (MONOSAN) ... To determine CDK2 activity, specific complexes from either MCF-7/Neo or MCF-7/E6 cells were immunoprecipitated from extracts using anti-CDK2 antibody (M-2). The beads were washed two additional times with kinase buffer (20 mM Tris HCl [pH 7.4], 4 mM MgCl2, and 0.5 mM DTT) and kinase reaction was carried out in 50 μl volume kinase buffer containing 10 μg histone-H1 as a specific substrate, 10 μCi [γ-32P]-ATP (5000 mCi/mmol, Amersham), and 30 μM ATP at 37°C for 30 min | Discourse Facet:  Method_Citation | Annotator:  B, |

