Topic ID: D1404_TRAIN | Citance Number: 1 | Reference Article:  Agami,Bernards.txt | Citing Article:  Chen.txt | Citation Marker Offset:  3240-3241 | Citation Marker:  9 | Citation Offset:  3112-3242 | Citation Text:  Ionizing radiation was shown to activate the APC/C to degrade cyclin D1, which triggers an immediate p53-independent G1 arrest [9] | Reference Offset:  ['484-599', '6484-6639', '20464-20667'] | Reference Text:  We show that DNA damage causes an immediate and p53-independent G1 arrest, caused by rapid proteolysis of cyclin D1 ... This result suggests that cells undergo an initial G1 arrest within 10 hr after exposure to IR and that this initial response does not require p53 activity ... These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 7 | Reference Article:  Agami,Bernards.txt | Citing Article:  Liu.txt | Citation Marker Offset:  19784-19786 | Citation Marker:  17 | Citation Offset:  19551-19787 | Citation Text:  It has been shown that the activities of many regulatory factors of checkpoints are lost or arrested during the process of tumorigenesis [16], and found that some anti-tumor reagents could restore the altered regulatory checkpoints [17] | Reference Offset:  ['28017-28195', '41651-41967', '42210-42447'] | Reference Text:  These results suggest strongly that in the absence of a functional p53 DNA damage checkpoint, the initial G1 arrest in response to IR is the result of rapid cyclin D1 degradation ... Our finding that the genotoxic stress-induced cyclin D1 degradation pathway is intact in most tumor cells (Figure 3) may be related to the fact that disruption of this pathway does not elevate cyclin D1 protein levels in nonstressed cells (Figure 4) and therefore does not confer a selective advantage to tumor cells ... This suggests that specific inhibition of genotoxic stress induced-cyclin D1 degradation could make radiotherapy more effective and selective as tumor cells often express much higher levels of cyclin D1 than the surrounding normal tissue | Discourse Facet:  Implication_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 8 | Reference Article:  Agami,Bernards.txt | Citing Article:  McFeat.txt | Citation Marker Offset:  25002-25004 | Citation Marker:  28 | Citation Offset:  24894-25028 | Citation Text:  The induction of both apoptosis and cell cycle arrest by UVC are associated with p53 perhaps by ATR kinase [28], [29] reviewed in [30] | Reference Offset:  ['304-393', '601-747', '3999-4420'] | Reference Text:  DNA damage causes stabilization of p53, leading to G1 arrest through induction of p21cip1 ... Degradation is mediated through a previously unrecognized destruction box in cyclin D1 and leads to a release of p21cip1 from CDK4 to inhibit CDK2 ... In response to DNA damage, such as ionizing radiation (IR), p53 is required for G1 arrest (reviewed in Lakin and Jackson 1999), apoptosis (reviewed in Sionov and Haupt 1999), and to sustain arrest of cells prior to M phase (Bunz et al. 1998). In response to IR, rapid phosphorylation of p53 by the ATM-CHK2 pathway on serines 15 and 20 leads to release of Mdm2 and stabilization of p53 (Meek 1999, and references therein) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 9 | Reference Article:  Agami,Bernards.txt | Citing Article:  Shao.txt | Citation Marker Offset:  19871-19873 | Citation Marker:  25 | Citation Offset:  19712-19874 | Citation Text:  In fact, genotoxic stresses such as ionizing radiation have been demonstrated to trigger rapid proteolysis of cyclin D1, leading to p53-independent G1 arrest (25) | Reference Offset:  ['484-599', '20464-20667', '30931-31050'] | Reference Text:  We show that DNA damage causes an immediate and p53-independent G1 arrest, caused by rapid proteolysis of cyclin D1 ... These results suggest that the APC is constitutively associated with the cyclin D1/CDK4 complex and are consistent with a model in which the APC is responsible for cyclin D1 proteolysis in response to IR ... We therefore detect an early p53-independent and cyclin D1 proteolysis-dependent release of p21cip1 from CDK4 complexes | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 10 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve,Agami.txt | Citation Marker Offset:  27215-27239 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  27151-27402 | Citation Text:  MCF7 or HeLa cells were electroporated as described previously (Agami and Bernards, 2000) to more than 95% efficiency with pSuper constructs against the various targets, and 72 hr later, protein expression was analyzed by SDS-PAGE and Western blotting | Reference Offset:  ['22460-22670', '24339-24558', '44038-44407'] | Reference Text:  (A) MCF-7 cells were transfected by electroporation with either vector or histone H2B-GFP expression construct. After 17 hr, cells were washed to clear dead cells and after an additional 48 hr, analyzed by FACS ... We electroporated MCF-7/E6 cells with wild-type or mutant cyclin D1 expression vectors and after 48 hr, cells were irradiated and treated with nocodazole, and 10 hr later the cell cycle distribution was analyzed by FACS ... Either 1 or 2 μg of DNA was added and the cells and DNA were transferred to a 0.1 cm electroporation cuvette (BioRad) and electroporated with Gene Pulser II apparatus and Gene Pulser II RF module (BioRad) at 140 volts, 15 times 1.5 ms burst duration and 1.5 s intervals. Five minutes after electroporation, cells were seeded in either a 10 cm dish or an equivalent area | Discourse Facet:  Method_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 11 | Reference Article:  Agami,Bernards.txt | Citing Article:  Yang.txt | Citation Marker Offset:  35519-35521 | Citation Marker:  51 | Citation Offset:  35323-35522 | Citation Text:  It has been shown, however, that ubiquitination of cyclin D1 can efficiently take place following phosphorylation of another site [49], or without the apparent requirement for phosphorylation [50,51] | Reference Offset:  ['2999-3229', '15547-15726'] | Reference Text:  Furthermore, mitogen deprivation accelerates cyclin D1 proteolysis via the PI3K-PKB/Akt-GSK3-β pathway. GSK3-β phosphorylates cyclin D1 at threonine 286, which triggers its nuclear export, ubiquitination, and degradation (6 and 7) ... Collectively, these results strongly suggest that cyclin D1 degradation induced by genotoxic stress is independent of the PI3K-PKB/Akt-GSK3β pathway, CDK4/6 kinase and pRb binding | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1404_TRAIN | Citance Number: 12 | Reference Article:  Agami,Bernards.txt | Citing Article:  Voorhoeve.txt | Citation Marker Offset:  46488-46512 | Citation Marker:  Agami and Bernards, 2000 | Citation Offset:  46422-46513 | Citation Text:  IP-kinase assay and flowcytometry were performed as described in (Agami and Bernards, 2000) | Reference Offset:  ['44921-45188', '47345-47815'] | Reference Text:  For FACS analysis, cells were trypsinized and resuspended in 600 μl solution containing 0.6% NP-40, 50 μg/ml RNaseA, and 50 μg/ml propidium iodide in PBS. In each assay, 10,000 cells were collected by FACScan and analyzed with the CellQuest program (Becton Dickinson) ... To determine CDK2 activity, specific complexes from either MCF-7/Neo or MCF-7/E6 cells were immunoprecipitated from extracts using anti-CDK2 antibody (M-2). The beads were washed two additional times with kinase buffer (20 mM Tris HCl [pH 7.4], 4 mM MgCl2, and 0.5 mM DTT) and kinase reaction was carried out in 50 μl volume kinase buffer containing 10 μg histone-H1 as a specific substrate, 10 μCi [γ-32P]-ATP (5000 mCi/mmol, Amersham), and 30 μM ATP at 37°C for 30 min | Discourse Facet:  Method_Citation | Annotator:  C, |

