Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset:  ['8611-8900', '37607-37977'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Cells were stained with 0.1% crystal violet (Sigma) for 30 min, rinsed extensively, and dried. Cell-associated dye was extracted with 2.0 ml 10% acetic acid. Aliquots were diluted 1:4 with H2O, transferred to 96-well microtiter plates, and the optical density at 590 nm was determined. Values were normalized to the optical density at day 0 for the appropriate cell type | Discourse Facet:  Method_Citation | Annotator:  C, |
Topic ID: D1403_TRAIN | Citance Number: 7 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 3171-3190 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  3052-3272 | Citation Text:  Interestingly, although both are upregulated by Ras in primary mouse embryo fibroblasts (MEFs) Palmero et al. 1998 and Serrano et al. 1997, it is clear that p19ARF is the critical determinant of the ensuing growth arrest | Reference Offset:  ['20309-20478', '25181-25383', '25727-25942'] | Reference Text:  These results indicate that p53 and p16 are essential for ras-induced arrest in MEFs, and that inactivation of either p53 or p16 alone is sufficient to circumvent arrest ... In this regard, oncogenic activation of ras constitutes a novel circumstance in which p53 is activated, and provides a description of a stimulus that can induce p16 in association with cell-cycle arrest ... p53 and p16 are not thought to promote cell-cycle arrest through the same pathway; consistent with this, p16 levels increase in response to ras in p53?/? MEFs, and p53 levels increase in p16?/? MEFs (data not shown) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 8 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 5354-5373 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  4999-5373 | Citation Text:  The general impression that has emerged is that transformation of human cells by Ras requires the inactivation of both the pRb and p53 pathways, typically achieved by introducing DNA tumor virus oncoproteins such as SV40 large tumor antigen (T-Ag) or human papillomavirus E6 and E7 proteins Elenbaas et al. 2001, Hahn et al. 1999, Morales et al. 1999 and Serrano et al. 1997 | Reference Offset:  ['822-949', '1993-2139'] | Reference Text:  Inactivation of either p53 or p16 prevents ras-induced arrest in rodent cells, and E1A achieves a similar effect in human cells ... Several viral oncoproteins also cooperate with ras, including SV40 T-antigen, adenovirus E1A, human papillomavirus E7, and HTLV-1 Tax ( 70 and 57) | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 9 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 7739-7758 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  7596-7778 | Citation Text:  In contrast, control Hs68 fibroblasts underwent a senescence-like arrest in response to Ras as predicted by other studies Morales et al. 1999, Serrano et al. 1997 and Wei et al. 1999 | Reference Offset:  ['10089-10222', '15495-15795'] | Reference Text:  Thus, ras induces cell-cycle arrest prior to the onset of S phase, and this program is conserved between human and rodent fibroblasts ... Cell-cycle arrest produced by serum depletion or confluence produced no increase in the percentage of SA-?-gal-positive cells in IMR90 control cells ( Figure 4C and data not shown). Thus, the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 10 | Reference Article: Serrano.txt | Citing Article: Hanahan.txt | Citation Marker Offset: 37740-37759 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  37562-37760 | Citation Text:  More recently, the senescent state has been observed to be inducible in certain cultured cells in response to high level expression of genes such as the activated ras oncogene ( Serrano et al. 1997) | Reference Offset:  ['570-820', '26656-26967'] | Reference Text:  Here we show that expression of oncogenic ras in primary human or rodent cells results in a permanent G1 arrest. The arrest induced by ras is accompanied by accumulation of p53 and p16, and is phenotypically indistinguishable from cellular senescence ... Several observations indicate that ras-induced arrest is not an immediate outcome of Ras signaling, but rather a cellular response to aberrant Ras activity. The immediate effect of Ras in primary cells is mitogenic, as indicated by microinjection studies in primary human and rodent fibroblasts ( 42, 64 and 59) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 11 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 20741-20761 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  20398-20762 | Citation Text:  Importantly, pancreata from compound mutant animals did not express detectable levels of p21CIP/WAF, a cell cycle inhibitor and p53 target gene (Figure 3C), arguing against the possibility that the decreased proliferative rates of acinar and islet cells compared with PanINs were due to Ras-induced senescence in the former cell compartments (Serrano et al., 1997) | Reference Offset:  ['3560-3706', '31680-31830', '33090-33236'] | Reference Text:  The expression of the cell-cycle inhibitor p21 is transcriptionally activated by p53 and contributes to p53-dependent arrest ( Ko and Prives 1996) ... Consistent with this view, mutation and/or amplification of K-ras and loss of p16 and p53 are extremely common in human pancreatic cancers ( 8 and 11) ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 12 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 42521-42540 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  42319-42540 | Citation Text:  In a variety of cell types, ectopic overexpression of RAS induces cell cycle arrest and senescence in the absence of cooperating tumor suppressor or oncogenic mutations Land et al. 1983, Ruley 1983 and Serrano et al. 1997 | Reference Offset:  ['5146-5319', '30597-30804', '31023-31162'] | Reference Text:  In this study, we demonstrate that prolonged expression of oncogenic ras induces a cell-cycle arrest involving p53 and p16 that is indistinguishable from cellular senescence ... The induction of a premature senescence program by oncogenic ras provides an explanation for the cooperation between ras and the immortalizing mutations that transform primary rodent cells (see Introduction) ... Similarly, most spontaneously immortalized rodent cells can be transformed by ras alone, suggesting that ras-induced senescence is impaired | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 13 | Reference Article: Serrano.txt | Citing Article: Sherr.txt | Citation Marker Offset: 23631-23651 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  23499-23678 | Citation Text:  By inducing Arf and Ink4a in primary rodent fibroblasts, oncogenic Ras expression leads to growth arrest and premature senescence ( Serrano et al., 1997 and Ferbeyre et al., 2002) | Reference Offset:  ['20309-20478', '24964-25179', '29708-29930'] | Reference Text:  These results indicate that p53 and p16 are essential for ras-induced arrest in MEFs, and that inactivation of either p53 or p16 alone is sufficient to circumvent arrest ... We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 ... Disruption of p53 or the p16/Rb pathway in rodent cells is extremely efficient at abrogating ras-induced arrest. In fact, oncogenic ras alone transforms primary mouse fibroblasts deficient in either p53 or p16 ( 66 and 60) | Discourse Facet:  Results_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 14 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4511-4531 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  4355-4532 | Citation Text:  Moreover, oncogenes such as H-RASV12 provoke a stress response in primary cells that results in an irreversible growth arrest, termed premature senescence (Serrano et al., 1997) | Reference Offset:  ['570-681', '12197-12385', '33090-33236'] | Reference Text:  Here we show that expression of oncogenic ras in primary human or rodent cells results in a permanent G1 arrest ... The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961) ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  C, |

Topic ID: D1403_TRAIN | Citance Number: 15 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 9445-9465 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  9324-9550 | Citation Text:  In response to mitogenic signals from oncogenes such as RASV12, primary human cells undergo a growth arrest (Figure 2A) (Serrano et al., 1997). In contrast, primary cells lacking functional p53 efficiently overcome this arrest | Reference Offset:  ['24964-25179', '26219-26436'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 ... In normal human fibroblasts, by contrast, independent disruption of either p53 or the p16/Rb pathway alone is not sufficient to prevent ras-induced arrest, but the E1A oncoprotein allows escape from ras-induced arrest | Discourse Facet:  Results_Citation | Annotator:  C, |

