Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset:  ['8611-8900', '37430-38088'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Twenty-five thousand cells per well were plated into 12-well plates. At the indicated times, cells were washed with PBS, fixed in 10% formalin, and rinsed with distilled water. Cells were stained with 0.1% crystal violet (Sigma) for 30 min, rinsed extensively, and dried. Cell-associated dye was extracted with 2.0 ml 10% acetic acid. Aliquots were diluted 1:4 with H2O, transferred to 96-well microtiter plates, and the optical density at 590 nm was determined. Values were normalized to the optical density at day 0 for the appropriate cell type. Within an experiment, each point was determined in triplicate; each growth curve was performed at least twice | Discourse Facet:  Method_Citation | Annotator:  B, |
Topic ID: D1403_TRAIN | Citance Number: 8 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 5354-5373 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  4999-5373 | Citation Text:  The general impression that has emerged is that transformation of human cells by Ras requires the inactivation of both the pRb and p53 pathways, typically achieved by introducing DNA tumor virus oncoproteins such as SV40 large tumor antigen (T-Ag) or human papillomavirus E6 and E7 proteins Elenbaas et al. 2001, Hahn et al. 1999, Morales et al. 1999 and Serrano et al. 1997 | Reference Offset:  ['1993-2285'] | Reference Text:  Several viral oncoproteins also cooperate with ras, including SV40 T-antigen, adenovirus E1A, human papillomavirus E7, and HTLV-1 Tax ( 70 and 57). When expressed alone, most of these cooperating alterations facilitate the establishment of primary cells into immortal cell lines ( Ruley 1990) | Discourse Facet:  Discussion_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 9 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 7739-7758 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  7609-7778 | Citation Text:  control Hs68 fibroblasts underwent a senescence-like arrest in response to Ras as predicted by other studies Morales et al. 1999, Serrano et al. 1997 and Wei et al. 1999 | Reference Offset:  ['12197-13157', '15677-15795'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... Thus, the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 10 | Reference Article: Serrano.txt | Citing Article: Hanahan.txt | Citation Marker Offset: 37740-37759 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  37577-37760 | Citation Text:  the senescent state has been observed to be inducible in certain cultured cells in response to high level expression of genes such as the activated ras oncogene ( Serrano et al. 1997) | Reference Offset:  ['12197-13157', '15683-15795', '28219-28338'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 11 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 20741-20761 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  20398-20762 | Citation Text:  Importantly, pancreata from compound mutant animals did not express detectable levels of p21CIP/WAF, a cell cycle inhibitor and p53 target gene (Figure 3C), arguing against the possibility that the decreased proliferative rates of acinar and islet cells compared with PanINs were due to Ras-induced senescence in the former cell compartments (Serrano et al., 1997) | Reference Offset:  ['24964-25179', '28219-28338'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 12 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 42521-42540 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  42319-42540 | Citation Text:  In a variety of cell types, ectopic overexpression of RAS induces cell cycle arrest and senescence in the absence of cooperating tumor suppressor or oncogenic mutations Land et al. 1983, Ruley 1983 and Serrano et al. 1997 | Reference Offset:  ['12197-13157', '15683-15795', '28219-28338'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... the cell-cycle arrest induced by oncogenic ras was identical to replicative senescence by every criterion tested ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 13 | Reference Article: Serrano.txt | Citing Article: Sherr.txt | Citation Marker Offset: 23631-23651 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  23499-23678 | Citation Text:  By inducing Arf and Ink4a in primary rodent fibroblasts, oncogenic Ras expression leads to growth arrest and premature senescence ( Serrano et al., 1997 and Ferbeyre et al., 2002) | Reference Offset:  ['10564-10753', '12197-13157', '24964-25179'] | Reference Text:  oncogenic ras also increased p16 levels. On average, p53, p21, and p16 increases ranged between 10- and 20-fold, compared to control cells and relative to the total cellular protein content ... The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 14 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4511-4531 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  4355-4532 | Citation Text:  Moreover, oncogenes such as H-RASV12 provoke a stress response in primary cells that results in an irreversible growth arrest, termed premature senescence (Serrano et al., 1997) | Reference Offset:  ['12197-13157', '24964-25179', '28219-28338'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52). To exlore further the potential relationship between ras-induced arrest and senescence, we examined three additional senescence-associated markers: lack of serum-dependent induction of c-fos ( Seshadri and Campisi 1990), overexpression of the plasminogen activator inhibitor type-1 (PAI-1) gene ( 19 and 47), and detection of a senescence-associated β-galactosidase (SA-β-gal) optimally active at a pH of 6.0 ( Dimri et al. 1995; see also Reznikoff et al. 1996) ... We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence | Discourse Facet:  Results_Citation | Annotator:  B, |

Topic ID: D1403_TRAIN | Citance Number: 15 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 9445-9465 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  9324-9466 | Citation Text:  In response to mitogenic signals from oncogenes such as RASV12, primary human cells undergo a growth arrest (Figure 2A) (Serrano et al., 1997) | Reference Offset:  ['9009-9487', '9808-10222', '24964-25179'] | Reference Text:  H-ras V12-transduced cells stopped accumulating well before reaching confluence ( Figure 2A and Figure 2B). BrdU incorporation combined with DNA-content analysis revealed that H-ras V12-transduced populations retained a small percentage of BrdU-positive cells at day 1, but virtually none by day 3 ( Figure 2C). H-ras V12-transduced cells accumulated preferentially in G1, with a cell-cycle profile indistinguishable from serum-starved control cells ( Figure 2C; data not shown) ... the inability of the H-ras V12-transduced cells to proliferate is primarily due to cell-cycle arrest rather than cell death. Cells arrested by oncogenic ras remained attached to the plates and retained the same flat and enlarged morphology for at least one month (data not shown). Thus, ras induces cell-cycle arrest prior to the onset of S phase, and this program is conserved between human and rodent fibroblasts ... We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 | Discourse Facet:  Results_Citation | Annotator:  B, |

