Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset:  ['8611-8900', '37430-38088'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Twenty-five thousand cells per well were plated into 12-well plates. At the indicated times, cells were washed with PBS, fixed in 10% formalin, and rinsed with distilled water. Cells were stained with 0.1% crystal violet (Sigma) for 30 min, rinsed extensively, and dried. Cell-associated dye was extracted with 2.0 ml 10% acetic acid. Aliquots were diluted 1:4 with H2O, transferred to 96-well microtiter plates, and the optical density at 590 nm was determined. Values were normalized to the optical density at day 0 for the appropriate cell type. Within an experiment, each point was determined in triplicate; each growth curve was performed at least twice | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 7 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 3171-3190 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  2860-3272 | Citation Text:  As p16INK4a blocks the inactivation of pRb by cyclin-dependent kinases, and Arf blocks the inactivation of p53 by Mdm2-mediated proteolysis, both have the capacity to cause cell cycle arrest. Interestingly, although both are upregulated by Ras in primary mouse embryo fibroblasts (MEFs) Palmero et al. 1998 and Serrano et al. 1997, it is clear that p19ARF is the critical determinant of the ensuing growth arrest | Reference Offset:  ['20017-20478'] | Reference Text:  In agreement with previous reports ( 66 and 60), both p53−/− and p16−/− MEFs expressing H-ras V12 displayed features of oncogenic transformation (e.g., refractile morphology, loss of contact inhibition), which were apparent almost immediately after H-ras V12 was transduced (data not shown). These results indicate that p53 and p16 are essential for ras-induced arrest in MEFs, and that inactivation of either p53 or p16 alone is sufficient to circumvent arrest | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 8 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 5354-5373 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  4999-5373 | Citation Text:  The general impression that has emerged is that transformation of human cells by Ras requires the inactivation of both the pRb and p53 pathways, typically achieved by introducing DNA tumor virus oncoproteins such as SV40 large tumor antigen (T-Ag) or human papillomavirus E6 and E7 proteins Elenbaas et al. 2001, Hahn et al. 1999, Morales et al. 1999 and Serrano et al. 1997 | Reference Offset:  ['1993-2139', '4813-5144', '26219-26653'] | Reference Text:  Several viral oncoproteins also cooperate with ras, including SV40 T-antigen, adenovirus E1A, human papillomavirus E7, and HTLV-1 Tax ( 70 and 57) ... In human cells, inactivation of p53 and/or p16 also facilitates the immortalization process ( Reznikoff et al. 1996; Rogan et al. 1996). Together, these observations suggest a role for p53 and p16 in cellular senescence and, consistent with this, p53, p21, and p16 levels and/or activity increase in senescent cells ( 2, 20 and 52) ... In normal human fibroblasts, by contrast, independent disruption of either p53 or the p16/Rb pathway alone is not sufficient to prevent ras-induced arrest, but the E1A oncoprotein allows escape from ras-induced arrest. The differential sensitivity between human and rodent cells to individual perturbation of p53 or the p16/Rb pathway may underlie the well-known difficulty in establishing and transforming human cell lines in culture | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 9 | Reference Article: Serrano.txt | Citing Article: Drayton.txt | Citation Marker Offset: 7739-7758 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  7309-7778 | Citation Text:  In a previous report (Brookes et al., 2002), we showed that Leiden cells immortalized by hTERT (designated LT cells) do not grow as anchorage-independent colonies but acquire this ability when infected with a retrovirus encoding an activated (G12V) form of H-Ras (designated LTR cells). In contrast, control Hs68 fibroblasts underwent a senescence-like arrest in response to Ras as predicted by other studies Morales et al. 1999, Serrano et al. 1997 and Wei et al. 1999 | Reference Offset:  ['24964-25179'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin. The arrest occurs at G1 and in association with a significant increase in the abundance of p53, p21, and p16 | Discourse Facet:  Results_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 10 | Reference Article: Serrano.txt | Citing Article: Hanahan.txt | Citation Marker Offset: 37740-37759 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  37562-37760 | Citation Text:  More recently, the senescent state has been observed to be inducible in certain cultured cells in response to high level expression of genes such as the activated ras oncogene ( Serrano et al. 1997) | Reference Offset:  ['10245-10753', '12197-12694'] | Reference Text:  To characterize the nature of the cell-cycle arrest caused by H-ras V12, we examined the expression of several cell-cycle regulatory proteins by immunoblotting ( Figure 3A). Cell lysates were prepared between days 2 and 4. In all three experimental systems, oncogenic ras resulted in elevated p53 and p21. Furthermore, oncogenic ras also increased p16 levels. On average, p53, p21, and p16 increases ranged between 10- and 20-fold, compared to control cells and relative to the total cellular protein content ... The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52) | Discourse Facet:  Method_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 11 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 20741-20761 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  20398-20762 | Citation Text:  Importantly, pancreata from compound mutant animals did not express detectable levels of p21CIP/WAF, a cell cycle inhibitor and p53 target gene (Figure 3C), arguing against the possibility that the decreased proliferative rates of acinar and islet cells compared with PanINs were due to Ras-induced senescence in the former cell compartments (Serrano et al., 1997) | Reference Offset:  ['12197-12694'] | Reference Text:  The features of H-ras V12-arrested cells described above are remarkably similar to cells that have surpassed their proliferative capacity and become senescent ( Hayflick and Moorhead 1961). For example, senescent cells adopt a flat enlarged morphology and cease proliferation at subconfluent densities despite the presence of serum (reviewed by 63 and 69). Also, senescent cells arrest with a G1 DNA content, and express increased levels and/or activity of p53, p21, and p16 ( 49, 3, 2, 20 and 52) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 12 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 42521-42540 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  42319-42540 | Citation Text:  In a variety of cell types, ectopic overexpression of RAS induces cell cycle arrest and senescence in the absence of cooperating tumor suppressor or oncogenic mutations Land et al. 1983, Ruley 1983 and Serrano et al. 1997 | Reference Offset:  ['5146-5500', '33090-33495'] | Reference Text:  In this study, we demonstrate that prolonged expression of oncogenic ras induces a cell-cycle arrest involving p53 and p16 that is indistinguishable from cellular senescence. We suggest that premature senescence is a mechanism of tumor suppression that can explain several aspects of ras transformation and may be an important safeguard against neoplasia ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16. We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression. Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli | Discourse Facet:  Hypothesis_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 13 | Reference Article: Serrano.txt | Citing Article: Sherr.txt | Citation Marker Offset: 23631-23651 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  23499-23769 | Citation Text:  By inducing Arf and Ink4a in primary rodent fibroblasts, oncogenic Ras expression leads to growth arrest and premature senescence ( Serrano et al., 1997 and Ferbeyre et al., 2002). However, Ras transforms established rodent cell lines lacking Arf or p53 into tumor cells | Reference Offset:  ['1548-2139'] | Reference Text:  Oncogenic ras efficiently transforms most immortal rodent cell lines but fails to transform primary cells ( Newbold and Overell 1983). ras cooperates, however, with certain other oncogenic alterations to transform primary rodent cells ( 35 and 56), including overexpression of c-Myc, dominant negative p53, D-type cyclins, and Cdc25A and -B, and loss of p53, p16, or IRF-1 (reviewed by 70 and 57; see also Hinds et al. 1994; 38, 66, 17 and 60). Several viral oncoproteins also cooperate with ras, including SV40 T-antigen, adenovirus E1A, human papillomavirus E7, and HTLV-1 Tax ( 70 and 57) | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 14 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4511-4531 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  4355-4532 | Citation Text:  Moreover, oncogenes such as H-RASV12 provoke a stress response in primary cells that results in an irreversible growth arrest, termed premature senescence (Serrano et al., 1997) | Reference Offset:  ['5146-5500'] | Reference Text:  In this study, we demonstrate that prolonged expression of oncogenic ras induces a cell-cycle arrest involving p53 and p16 that is indistinguishable from cellular senescence. We suggest that premature senescence is a mechanism of tumor suppression that can explain several aspects of ras transformation and may be an important safeguard against neoplasia | Discourse Facet:  Discussion_Citation | Annotator:  E, |

Topic ID: D1403_TRAIN | Citance Number: 15 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 9445-9465 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  9324-9550 | Citation Text:  In response to mitogenic signals from oncogenes such as RASV12, primary human cells undergo a growth arrest (Figure 2A) (Serrano et al., 1997). In contrast, primary cells lacking functional p53 efficiently overcome this arrest | Reference Offset:  ['26656-27423', '33090-33495'] | Reference Text:  Several observations indicate that ras-induced arrest is not an immediate outcome of Ras signaling, but rather a cellular response to aberrant Ras activity. The immediate effect of Ras in primary cells is mitogenic, as indicated by microinjection studies in primary human and rodent fibroblasts ( 42, 64 and 59). Also, the cell-cycle arrest induced by ras in our studies is not immediate but occurs after a lag period, typically becoming complete by day 2 of the experimental scheme shown in Figure 1 (day 7 after the intitial introduction of H-ras V12). This delayed response is consistent with the existence of a homeostatic mechanism that prevents proliferation after prolonged Ras activation and that is mediated, at least in part, by the induction of p53 and p16 ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16. We propose that premature induction of senescence in response to abnormal mitogenic signaling is a mechanism of tumor suppression. Inactivation of this antiproliferative response allows proliferation to continue unabated in the presence of oncogenic stimuli | Discourse Facet:  Discussion_Citation | Annotator:  E, |

