Topic ID: D1403_TRAIN | Citance Number: 1 | Reference Article: Serrano.txt | Citing Article: Anand.txt | Citation Marker Offset: 38063-38083 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  37985-38084 | Citation Text:  Relative cell growth in plated cultures was measured as previously described (Serrano et al., 1997) | Reference Offset: ['8611-8900', '38852-39263'] | Reference Text:  The proliferative properties of such cell populations were monitored by growth curves and by BrdU-labeling, followed by flow cytometry. Cells transduced with H-ras V12 or with empty vector were plated at low density and cell numbers were counted ( Figure 2B; data not shown for WI38 cells) ... Positive nuclei were visualized using the Amersham cell proliferation kit, except that BrdU was detected with an FITC-conjugated secondary antibody (CalBiochem). Cells were counterstained with DAPI to identify all nuclei, and the percentage of BrdU-labeled cells (FITC/DAPI) was quantified using a fluorescence microscope. At least 200 cells were counted per sample; each experiment was performed at least twice | Discourse Facet:  Method_Citation | Annotator:  D, |
Topic ID: D1403_TRAIN | Citance Number: 11 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 20741-20761 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  20398-20762 | Citation Text:  Importantly, pancreata from compound mutant animals did not express detectable levels of p21CIP/WAF, a cell cycle inhibitor and p53 target gene (Figure 3C), arguing against the possibility that the decreased proliferative rates of acinar and islet cells compared with PanINs were due to Ras-induced senescence in the former cell compartments (Serrano et al., 1997) | Reference Offset: ['24964-25069', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 12 | Reference Article: Serrano.txt | Citing Article: Hingorani.txt | Citation Marker Offset: 42521-42540 | Citation Marker:  Serrano et al. 1997 | Citation Offset:  42319-42540 | Citation Text:  In a variety of cell types, ectopic overexpression of RAS induces cell cycle arrest and senescence in the absence of cooperating tumor suppressor or oncogenic mutations Land et al. 1983, Ruley 1983 and Serrano et al. 1997 | Reference Offset: ['24964-25069', '28219-28338', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... The cell-cycle arrest induced by oncogenic ras is phenotypically similar, and perhaps identical, to cellular senescence ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 13 | Reference Article: Serrano.txt | Citing Article: Sherr.txt | Citation Marker Offset: 23631-23651 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  23499-23678 | Citation Text:  By inducing Arf and Ink4a in primary rodent fibroblasts, oncogenic Ras expression leads to growth arrest and premature senescence ( Serrano et al., 1997 and Ferbeyre et al., 2002) | Reference Offset: ['24964-25069', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 14 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 4511-4531 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  4355-4532 | Citation Text:  Moreover, oncogenes such as H-RASV12 provoke a stress response in primary cells that results in an irreversible growth arrest, termed premature senescence (Serrano et al., 1997) | Reference Offset: ['24964-25069', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Discussion_Citation | Annotator:  D, |

Topic ID: D1403_TRAIN | Citance Number: 15 | Reference Article: Serrano.txt | Citing Article: Voorhoeve.txt | Citation Marker Offset: 9445-9465 | Citation Marker:  Serrano et al., 1997 | Citation Offset:  9324-9466 | Citation Text:  In response to mitogenic signals from oncogenes such as RASV12, primary human cells undergo a growth arrest (Figure 2A) (Serrano et al., 1997) | Reference Offset: ['24964-25069', '32515-32744', '33090-33236'] | Reference Text:  We show that ras provokes a permanent cell-cycle arrest in primary fibroblasts of rodent and human origin ... Yet, despite this intrinsic variability, the individual cell responses are remarkably uniform: the vast majority of cells arrest upon transduction of ras, and the arrest program is conserved between fibroblasts from three species ... We demonstrate that oncogenic ras provokes premature senescence in primary rodent and human cells in association with the induction of p53 and p16 | Discourse Facet:  Hypothesis_Citation | Annotator:  D, |

